method,run,time,num_of_calls,fx
Ours-SP,53,0.2453899199999796,202,1.337252955654655
Ours-SP,54,0.24751370799981487,202,1.337252955654655
Ours-SP,55,0.24139177300003212,202,1.337252955654655
Ours-SP,56,0.2510935770001197,202,1.337252955654655
Ours-SP,57,0.24377010800003518,202,1.337252955654655
Ours-SP,58,0.23422302299991316,202,1.337252955654655
Ours-SP,59,0.1791710290001447,202,1.337252955654655
Ours-SP,60,0.2509724559999995,202,1.337252955654655
Ours-SP,61,0.2496150890001445,202,1.337252955654655
Ours-SP,62,0.21708166200005508,202,1.337252955654655
Ours-SP,63,0.22445501499987586,202,1.337252955654655
Ours-SP,64,0.2278517610000108,202,1.337252955654655
Ours-SP,65,0.24823292499991112,202,1.337252955654655
Ours-SP,66,0.25235444600002666,202,1.337252955654655
Ours-SP,67,0.24711499399995773,202,1.337252955654655
Ours-SP,68,0.24872740499995416,202,1.337252955654655
Ours-SP,69,0.2472778589999507,202,1.337252955654655
Ours-SP,70,0.252068367999982,202,1.337252955654655
Ours-SP,71,0.24620546500000273,202,1.337252955654655
Ours-SP,72,0.24698138500002642,202,1.337252955654655
Ours-SP,73,0.2459431089998816,202,1.337252955654655
Ours-SP,74,0.2487335890000395,202,1.337252955654655
Ours-SP,75,0.24377459000015733,202,1.337252955654655
Ours-SP,76,0.2298280469999554,202,1.337252955654655
Ours-SP,77,0.24080276299991965,202,1.337252955654655
Ours-SP,78,0.24858022099988375,202,1.337252955654655
Ours-SP,79,0.24834826699998303,202,1.337252955654655
Ours-SP,80,0.24741121300007762,202,1.337252955654655
Ours-SP,81,0.24374715900012234,202,1.337252955654655
Ours-SP,82,0.24729758700004822,202,1.337252955654655
Ours-SP,83,0.24646300700010215,202,1.337252955654655
Ours-SP,84,0.24952832200006014,202,1.337252955654655
Ours-SP,85,0.24410714000009648,202,1.337252955654655
Ours-SP,86,0.24763425899982394,202,1.337252955654655
Ours-SP,87,0.24731197500000235,202,1.337252955654655
Ours-SP,88,0.25181961299995237,202,1.337252955654655
Ours-SP,89,0.24536899899999298,202,1.337252955654655
Ours-SP,90,0.24673102200017638,202,1.337252955654655
Ours-SP,91,0.2458364399999482,202,1.337252955654655
Ours-SP,92,0.21812283600002047,202,1.337252955654655
Ours-SP,93,0.2447072580000622,202,1.337252955654655
Ours-SP,94,0.20805053499998394,202,1.337252955654655
Ours-SP,95,0.245903958000099,202,1.337252955654655
Ours-SP,96,0.14892433199997868,202,1.337252955654655
Ours-SP,97,0.10921628100004455,202,1.337252955654655
Ours-SP,98,0.10827285899995331,202,1.337252955654655
Ours-SP,99,0.10705552300009913,202,1.337252955654655
Ours-SP,100,0.10820600900001409,202,1.337252955654655
Line,1,0.08358112099995196,212,1.2359235101695567
Line,2,0.08355673999994906,212,1.2359235101695567
Line,3,0.08348538499990354,212,1.2359235101695567
Line,4,0.1798887529998865,212,1.2359235101695567
Line,5,0.19066283099982684,212,1.2359235101695567
Line,6,0.19069819900005314,212,1.2359235101695567
Line,7,0.19064419300002555,212,1.2359235101695567
Line,8,0.19056736700008514,212,1.2359235101695567
Line,9,0.19007838700008506,212,1.2359235101695567
Line,10,0.1816942629998266,212,1.2359235101695567
Line,11,0.19263397300005636,212,1.2359235101695567
Line,12,0.19287947299994812,212,1.2359235101695567
Line,13,0.19425838600000134,212,1.2359235101695567
Line,14,0.19106345000000147,212,1.2359235101695567
Line,15,0.19131186900017383,212,1.2359235101695567
Line,16,0.19100820199992086,212,1.2359235101695567
Line,17,0.1911600680000447,212,1.2359235101695567
Line,18,0.19109974100001637,212,1.2359235101695567
Line,19,0.19049471299990728,212,1.2359235101695567
Line,20,0.19124264099991706,212,1.2359235101695567
Line,21,0.19090234800000871,212,1.2359235101695567
Line,22,0.19206831399992552,212,1.2359235101695567
Line,23,0.19094706700002462,212,1.2359235101695567
Line,24,0.1912905960000444,212,1.2359235101695567
Line,25,0.19085324599996056,212,1.2359235101695567
Line,26,0.19117806400004156,212,1.2359235101695567
Line,27,0.15297744700001203,212,1.2359235101695567
Line,28,0.19111790600004497,212,1.2359235101695567
Line,29,0.1907824189997882,212,1.2359235101695567
Line,30,0.1910795290000351,212,1.2359235101695567
Line,31,0.19044615500001782,212,1.2359235101695567
Line,32,0.17529102100002092,212,1.2359235101695567
Line,33,0.12455571800001053,212,1.2359235101695567
Line,34,0.18984632699994108,212,1.2359235101695567
Line,35,0.15356436299998677,212,1.2359235101695567
Line,36,0.18993459500006793,212,1.2359235101695567
Line,37,0.19242164299998876,212,1.2359235101695567
Line,38,0.19211007300009442,212,1.2359235101695567
Line,39,0.19184712900005252,212,1.2359235101695567
Line,40,0.19482687899994744,212,1.2359235101695567
Line,41,0.19374703499988755,212,1.2359235101695567
Line,42,0.1946069330001592,212,1.2359235101695567
Line,43,0.19256124000003183,212,1.2359235101695567
Line,44,0.10464189900017118,212,1.2359235101695567
Line,45,0.08626668900001278,212,1.2359235101695567
Line,46,0.15186407300006977,212,1.2359235101695567
Line,47,0.19310785200013925,212,1.2359235101695567
Line,48,0.19148912199989354,212,1.2359235101695567
Line,49,0.1889437289999023,212,1.2359235101695567
Line,50,0.19095285200000944,212,1.2359235101695567
Line,51,0.1908068689999709,212,1.2359235101695567
Line,52,0.19144970000002104,212,1.2359235101695567
Line,53,0.1907599570001821,212,1.2359235101695567
Line,54,0.19126383899993016,212,1.2359235101695567
Line,55,0.19083073299998432,212,1.2359235101695567
Line,56,0.19141095100007988,212,1.2359235101695567
Line,57,0.19207594000022254,212,1.2359235101695567
Line,58,0.1915047790000699,212,1.2359235101695567
Line,59,0.19119166900009077,212,1.2359235101695567
Line,60,0.1908538759998919,212,1.2359235101695567
Line,61,0.19099084499998753,212,1.2359235101695567
Line,62,0.19102789699991263,212,1.2359235101695567
Line,63,0.19175634799989894,212,1.2359235101695567
Line,64,0.19108615699997245,212,1.2359235101695567
Line,65,0.19117366000000402,212,1.2359235101695567
Line,66,0.19107624500020393,212,1.2359235101695567
Line,67,0.190954690000126,212,1.2359235101695567
Line,68,0.19133080799997515,212,1.2359235101695567
Line,69,0.19081583699994553,212,1.2359235101695567
Line,70,0.19097301699980562,212,1.2359235101695567
Line,71,0.1909354730000814,212,1.2359235101695567
Line,72,0.1910271190001822,212,1.2359235101695567
Line,73,0.15927544500004842,212,1.2359235101695567
Line,74,0.19127943600005892,212,1.2359235101695567
Line,75,0.1550546209998629,212,1.2359235101695567
Line,76,0.19115761799980646,212,1.2359235101695567
Line,77,0.17687865599987163,212,1.2359235101695567
Line,78,0.19131625399995755,212,1.2359235101695567
Line,79,0.1911438540000745,212,1.2359235101695567
Line,80,0.18022143000007418,212,1.2359235101695567
Line,81,0.19110708600010184,212,1.2359235101695567
Line,82,0.18270842899983109,212,1.2359235101695567
Line,83,0.19114403499997934,212,1.2359235101695567
Line,84,0.19098554799984413,212,1.2359235101695567
Line,85,0.19118384300008984,212,1.2359235101695567
Line,86,0.19091350999997303,212,1.2359235101695567
Line,87,0.190890884999817,212,1.2359235101695567
Line,88,0.18793151999989277,212,1.2359235101695567
Line,89,0.1907865400000901,212,1.2359235101695567
Line,90,0.19193334700003106,212,1.2359235101695567
Line,91,0.1907448110000587,212,1.2359235101695567
Line,92,0.1909826669998438,212,1.2359235101695567
Line,93,0.1909701640001913,212,1.2359235101695567
Line,94,0.19063071200002923,212,1.2359235101695567
Line,95,0.19122349900021618,212,1.2359235101695567
Line,96,0.19134647999999288,212,1.2359235101695567
Line,97,0.19121677099997214,212,1.2359235101695567
Line,98,0.19092499199996382,212,1.2359235101695567
Line,99,0.19325230599997667,212,1.2359235101695567
Line,100,0.19164030699994328,212,1.2359235101695567
Line-MS,1,0.20835520900004667,212,1.2359235118606189
Line-MS,2,0.2095052019999457,212,1.2359235118606189
Line-MS,3,0.20753341399995406,212,1.2359235118606189
Line-MS,4,0.2075018729999556,212,1.2359235118606189
Line-MS,5,0.1832077849999223,212,1.2359235118606189
Line-MS,6,0.19710518700003377,212,1.2359235118606189
Line-MS,7,0.15475019700011217,212,1.2359235118606189
Line-MS,8,0.17383365499995307,212,1.2359235118606189
Line-MS,9,0.16144340699997883,212,1.2359235118606189
Line-MS,10,0.2076625330000752,212,1.2359235118606189
Line-MS,11,0.13438820900000792,212,1.2359235118606189
Line-MS,12,0.20209168499991392,212,1.2359235118606189
Line-MS,13,0.20836765299986837,212,1.2359235118606189
Line-MS,14,0.20743110799980968,212,1.2359235118606189
Line-MS,15,0.20768298100006177,212,1.2359235118606189
Line-MS,16,0.20762331199989603,212,1.2359235118606189
Line-MS,17,0.20759699200016257,212,1.2359235118606189
Line-MS,18,0.2085521610001706,212,1.2359235118606189
Line-MS,19,0.20838906899984977,212,1.2359235118606189
Line-MS,20,0.2078572659997917,212,1.2359235118606189
Line-MS,21,0.2076874880001469,212,1.2359235118606189
Line-MS,22,0.20777435099989816,212,1.2359235118606189
Line-MS,23,0.1965514500000154,212,1.2359235118606189
Line-MS,24,0.20764305700004115,212,1.2359235118606189
Line-MS,25,0.2079390510000394,212,1.2359235118606189
Line-MS,26,0.20778902799997923,212,1.2359235118606189
Line-MS,27,0.2089805380001053,212,1.2359235118606189
Line-MS,28,0.20783316999995805,212,1.2359235118606189
Line-MS,29,0.20788664199994855,212,1.2359235118606189
Line-MS,30,0.2075029169998288,212,1.2359235118606189
Line-MS,31,0.20795889500004705,212,1.2359235118606189
Line-MS,32,0.20807233599998654,212,1.2359235118606189
Line-MS,33,0.20796513199979927,212,1.2359235118606189
Line-MS,34,0.20772733299986612,212,1.2359235118606189
Line-MS,35,0.20772450699996625,212,1.2359235118606189
Line-MS,36,0.2074327479999738,212,1.2359235118606189
Line-MS,37,0.20830088200000318,212,1.2359235118606189
Line-MS,38,0.20762950500011357,212,1.2359235118606189
Line-MS,39,0.20806436999987454,212,1.2359235118606189
Line-MS,40,0.20783423600005335,212,1.2359235118606189
Line-MS,41,0.20815101399989544,212,1.2359235118606189
Line-MS,42,0.20802776300001824,212,1.2359235118606189
Line-MS,43,0.20810922999999093,212,1.2359235118606189
Line-MS,44,0.2080357180000192,212,1.2359235118606189
Line-MS,45,0.17356446100006906,212,1.2359235118606189
Line-MS,46,0.20827755699997397,212,1.2359235118606189
Line-MS,47,0.17648313999984566,212,1.2359235118606189
Line-MS,48,0.20780191200014997,212,1.2359235118606189
Line-MS,49,0.2080817640000987,212,1.2359235118606189
Line-MS,50,0.20790871999997762,212,1.2359235118606189
Line-MS,51,0.2083641770000213,212,1.2359235118606189
Line-MS,52,0.17307758099991588,212,1.2359235118606189
Line-MS,53,0.1969112290000794,212,1.2359235118606189
Line-MS,54,0.20791661200019007,212,1.2359235118606189
Line-MS,55,0.2075723210000433,212,1.2359235118606189
Line-MS,56,0.20776884499991866,212,1.2359235118606189
Line-MS,57,0.20792758299990055,212,1.2359235118606189
Line-MS,58,0.20850083899995298,212,1.2359235118606189
Line-MS,59,0.2031877510000868,212,1.2359235118606189
Line-MS,60,0.20843362100004015,212,1.2359235118606189
Line-MS,61,0.20767683600001874,212,1.2359235118606189
Line-MS,62,0.2079650660000425,212,1.2359235118606189
Line-MS,63,0.20836023200013187,212,1.2359235118606189
Line-MS,64,0.2076947929999733,212,1.2359235118606189
Line-MS,65,0.2080087059998732,212,1.2359235118606189
Line-MS,66,0.20814855399999033,212,1.2359235118606189
Line-MS,67,0.20852672899991376,212,1.2359235118606189
Line-MS,68,0.20814097000015863,212,1.2359235118606189
Line-MS,69,0.20792538899991087,212,1.2359235118606189
Line-MS,70,0.20825704699996095,212,1.2359235118606189
Line-MS,71,0.2083643230000689,212,1.2359235118606189
Line-MS,72,0.20823028199993132,212,1.2359235118606189
Line-MS,73,0.20795996400011063,212,1.2359235118606189
Line-MS,74,0.20834232800007157,212,1.2359235118606189
Line-MS,75,0.20293853299995135,212,1.2359235118606189
Line-MS,76,0.20814176600015344,212,1.2359235118606189
Line-MS,77,0.20805816300003244,212,1.2359235118606189
Line-MS,78,0.20793426600016574,212,1.2359235118606189
Line-MS,79,0.2079576010000892,212,1.2359235118606189
Line-MS,80,0.20792176000009022,212,1.2359235118606189
Line-MS,81,0.1742968099999871,212,1.2359235118606189
Line-MS,82,0.20764171199994053,212,1.2359235118606189
Line-MS,83,0.173375194999835,212,1.2359235118606189
Line-MS,84,0.20781010299992886,212,1.2359235118606189
Line-MS,85,0.20731409299992265,212,1.2359235118606189
Line-MS,86,0.2080493989999468,212,1.2359235118606189
Line-MS,87,0.19967357299992727,212,1.2359235118606189
Line-MS,88,0.2078588330000457,212,1.2359235118606189
Line-MS,89,0.17918716700000914,212,1.2359235118606189
Line-MS,90,0.16019288200004667,212,1.2359235118606189
Line-MS,91,0.20813319299986688,212,1.2359235118606189
Line-MS,92,0.20784021700001176,212,1.2359235118606189
Line-MS,93,0.20258936899995206,212,1.2359235118606189
Line-MS,94,0.19126460600000428,212,1.2359235118606189
